French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
yeux,eyes
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
